station,lon,lat,elevation,start_year,end_year
Calabozo,292.58333,8.93333,100,1996,1998
Calais-Marck,1.95,50.95,2,2013,2021
Calama,291.08333,-22.46667,2270,1971,2016
CalcuttaAlipore,88.33333,22.53333,4,1957,2002
Caldera,289.15,-27.08333,14,1971,2021
Camborne,354.68333,50.21667,88,1964,2017
CamborneBSRN,354.68333,50.21667,88,2001,2017
Cambridge,0.1,52.21667,23,1957,1971
CambridgeBay,254.88333,69.1,27,1971,1998
Campobasso,14.65,41.56667,793,1997,2015
Canberra,149.18333,-35.3,575,1983,1994
Canton,188.28333,-2.76667,4,1951,1967
CapeGrim,144.68833,-40.68222,94,1991,2020
Capellino,8.95,44.38333,700,1964,1973
CapeShmidte,180.58333,68.9,0,1936,1963
CapeTown,18.6,-33.96667,44,1952,1976
CapeZhelaniya,68.0,77.0,0,1937,1963
CapoBellavista,9.71667,39.93333,138,1989,2011
CapoCaccia,8.16667,40.51667,204,1989,2013
Captieux,359.71667,44.18333,38,1980,1986
CaracasLaCarlotta,293.11667,10.5,835,1964,1998
CaracasMaiquetia,293.01667,10.6,43,1964,2007
Carcassonne,2.31667,43.21667,130,1980,2021
Cardington,359.58333,52.1,29,1972,1978
Caribou,291.98333,46.86667,195,1950,1994
CarnarvonAirp.,113.66667,-24.88333,4,1987,1995
Carpentras,5.05,44.08333,99,1968,2021
CarpentrasBSRN,5.05,44.08333,99,1991,2018
Carrizal,293.08333,9.41667,160,1996,1998
Casablanca,352.33333,33.56667,55,1958,2017
CasaBlanca,277.65,23.16667,50,1962,1995
Casey,110.53333,-66.28333,40,1973,1977
CasteloBranco,352.51667,39.83333,390,1985,2021
Castres,2.3,43.55,232,1993,1993
Catalina,290.28333,-25.21667,2180,1971,1971
CataniaSigonella,14.91667,37.4,24,2011,2015
Cauquenes,287.66667,-35.96667,142,1997,2001
Cawood,358.86667,53.83333,6,1959,1975
Cayenne-Rocheambeau,307.63333,4.83333,5,1974,2021
CenerBSRN,358.39889,42.81611,471,2009,2022
Cervia,12.3,44.21667,6,1989,2015
Chaiten,287.28333,-42.91667,7,1997,2001
Chambery-Aix,5.86667,45.63333,235,2009,2021
Chamdo,97.16667,31.15,3306,1961,2000
Chanaral,289.38333,-26.33333,9,1971,1973
Changchun,125.21667,43.9,237,1959,2000
Changning,112.4,26.41667,117,1992,2000
Changsha,112.91667,28.21667,68,1987,2000
Changsha1961-1987,113.1,28.21667,0,1961,1987
Chaoyang,120.45,41.55,169,1963,2000
Charleroi,4.45,50.41667,150,1973,1975
Charleston,279.96667,32.9,21,1950,1976
Charleville-Mezieres,4.63333,49.76667,149,2009,2021
Charlottetown,296.86667,46.28333,48,1971,1997
Chartres,1.5,48.45,155,2009,2021
Chateaudun,1.36667,48.05,126,2010,2021
ChateaurouxDeols,1.73333,46.86667,158,2009,2021
ChatillonSeine,4.56667,47.83333,262,2013,2021
Chemnitz,12.86667,50.8,418,1991,1998
Chengdu,104.01667,30.66667,506,1961,2003
CherniVrah,23.25,42.58333,2286,1964,1995
ChesapeakeBSRN,284.28694,36.905,37,2000,2016
ChesapeakeLighthouseBSRN,284.28333,36.9,12,2000,2005
Chetyrekh-StolbovoiIs.,162.4,70.63333,6,1951,1994
Chiangmai,98.98333,18.78333,313,1966,1973
Chichijima,142.18333,27.08333,4,1969,2021
Chicualacuala,31.68333,-22.08333,452,1966,1976
Chihuahua,253.91667,28.63333,1430,1967,1976
Chimoio,33.46667,-19.11667,731,1963,2008
"ChinaLake,Inyokern",242.31667,35.68333,681,1950,1969
Chirpan,25.33333,42.2,175,1983,1999
Chita,113.33333,52.01667,671,1964,2013
Chittagong,91.81667,22.35,35,1966,1971
Chokwe,33.0,-24.53333,33,1964,1998
Cholet,359.13333,47.06667,134,2013,2016
Chongqing,106.46667,29.58333,260,1988,2000
Chongqing1961-1987,106.43333,29.85,0,1961,1987
Choshi,140.85,35.73333,20,1972,2002
ChristchurchAirp.,172.53333,-43.48333,34,1965,1991
ChristmasIs.,105.68333,-10.45,262,1996,1997
Churanov,13.61667,49.06667,1122,1986,2021
ChurchFenton,358.8,53.83333,9,1964,1967
Churchill,265.93333,58.75,35,1960,1998
Churchill12landsitemultiplereflectionstudy,301.21667,58.75,14,1982,1985
Churchill13seasitemultiplereflectionstudy,266.18333,58.78333,0,1982,1985
"Cimone,M.",10.7,44.2,2173,1964,2015
CiudadBolivar,296.45,8.15,43,1964,1998
Ciudad-Real,356.08333,38.98333,628,1995,2021
CiudadUniv.,260.81667,19.33333,2268,1967,2021
Cixi,121.16667,30.26667,0,1961,1990
Clermont-Ferrand,3.16667,45.78333,332,1978,2021
Cleveland,278.15,41.4,245,1950,1975
Clones,352.76667,54.18333,86,1982,2017
Cluj-Napoka,23.56667,46.78333,410,1964,2021
Clyde,291.48333,70.48333,26,1988,1997
Cobar,145.81667,-31.48333,221,2012,2013
Coburg,10.95,50.26667,357,1981,1998
CocosIsland,96.83333,-12.2,6,2004,2021
CocosIslandBSRN,96.835,-12.19306,2,2004,2020
Cognac,359.68417,45.665,31,2011,2021
Coimbra,351.58333,40.2,141,1964,2011
CoimbraArpt,351.53333,40.15,170,2005,2021
Collipulli,287.56667,-37.95,250,1971,1973
Colmar,7.4,47.91667,211,1991,2021
ColombierLejeune,4.66667,45.01667,566,1994,1994
Colombo,79.86667,6.9,7,1964,2003
Colorado,288.73333,-35.65,2000,1971,1972
Columbia,267.78333,38.81667,277,1950,2002
