tskey,ebcode,ebkey,sgkey,sgxlon,sgylat,sgelevation,sgname,affiliation,until,sgcomment
1730,DIFFUS,3,921,58.05000,80.61667,21,Krenkel Observatory,Russian Federation - previously USSR,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg; Chernigovskii, N.T., and M. S. Marshunova (1965),  Klimat Sovietskoi Arktiki, Gidrometeoizdat, Leningrad/Petrograd."
1732,GLOBAL,1,1166,13.68333,47.53333,2064,Krippenstein,Austria,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1733,GLOBAL,1,1437,16.55000,46.03333,155,Krizevci,Croatia - previously Yugoslavia,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1734,GLOBAL,1,1608,35.90000,33.80000,927,Ksara,Lebanon,,"Ashbel, D. (1956), Global solar radiation and sunshine in Jerusalem, 4 publications with measm. from 1951-1962, Department of Climatology and Meteorology Jerusalem, Israel."
1735,GLOBAL,1,1141,101.55000,3.11667,17,Kuala Lumpur / Sub.,Malaysia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1737,GLOBAL,1,1193,16.08333,48.88333,334,Kucharovice,Czech Republic - previously Czechoslovakia,1993,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1738,GLOBAL,1,2074,110.33333,1.48333,27,Kuching,Malaysia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1739,GLOBAL,1,938,50.45000,53.25000,137,Kuibyshew,Russian Federation - previously USSR,1992,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1741,GLOBAL,1,2700,139.38333,36.15000,30,Kumagaya,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
1742,GLOBAL,1,2685,130.70000,32.81667,38,Kumamoto,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
1743,GLOBAL,1,316,358.40000,6.71667,283,Kumasi,Ghana,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
1744,GLOBAL,1,2047,102.68333,25.01667,1891,Kunming,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1745,DIRECT,2,2047,102.68333,25.01667,1891,Kunming,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1746,DIFFUS,3,2047,102.68333,25.01667,1891,Kunming,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1747,REFLEC,5,2047,102.68333,25.01667,1891,Kunming,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1750,GLOBAL,1,1137,123.60000,-10.15000,20,Kupang,Indonesia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1751,GLOBAL,1,2832,82.90000,41.80000,0,Kuqa,China,,"China Meteorological Administration (2005), radiation data."
1752,DIFFUS,3,2832,82.90000,41.80000,0,Kuqa,China,,"China Meteorological Administration (2005), radiation data."
1754,GLOBAL,1,1185,25.36667,41.65000,240,Kurdjali,Bulgaria,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1755,GLOBAL,1,2695,140.75000,42.90000,176,Kutchan,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
1756,GLOBAL,1,415,291.58333,58.10000,36,Kuujjuaq / Fort Chimo,Canada,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geograph. Inst. ETH Zurich; Atmospheric Environment Service Canada (1960), Month. Rad. Summary."
1757,GLOBAL,1,2392,167.73333,8.71667,10,Kwajalein (BSRN),Marshall Islands - previously Pacific Islands (Trust Territory),1986,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1758,DIRECT,2,2392,167.73333,8.71667,10,Kwajalein (BSRN),Marshall Islands - previously Pacific Islands (Trust Territory),1986,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1759,DIFFUS,3,2392,167.73333,8.71667,10,Kwajalein (BSRN),Marshall Islands - previously Pacific Islands (Trust Territory),1986,"Ohmura, A. and others (1998), Baseline Surface Radiation Network (BSRN/WRMC), a new precision radiometry for climate research, Bull.Amer.Meteor.Soc., 79, 2115-2136."
1763,GLOBAL,1,897,129.68333,41.68333,8,Kyongsong,Korea (The Peoples Democratic Republic of),,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1764,DIFFUS,3,897,129.68333,41.68333,8,Kyongsong,Korea (The Peoples Democratic Republic of),,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1765,GLOBAL,1,2709,135.73333,35.01667,41,Kyoto,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
1767,GLOBAL,1,3827,288.35000,10.51667,26,La Canada,Venezuela,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
1768,GLOBAL,1,3756,6.79694,47.08556,1018,La Chaux-de-Fonds,Switzerland,,
1769,GLOBAL,1,1014,280.65000,-1.66667,20,La Clementina,Ecuador,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1770,GLOBAL,1,2450,351.58333,43.36667,58,La Coruna,Spain,,
1771,DIFFUS,3,2450,351.58333,43.36667,58,La Coruna,Spain,,
1772,GLOBAL,1,3792,351.63333,43.30000,97,La Coruna Airport,Spain,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
1773,GLOBAL,1,4587,299.00000,16.33333,27,La Desirade Meteo,Guadeloupe - previously Guadeloupe,2007,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1774,GLOBAL,1,2112,6.10000,46.43333,1670,La Dole,Switzerland,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1786,GLOBAL,1,1005,287.56667,-41.43333,247,Lago Chapo,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1787,GLOBAL,1,998,288.63333,-37.36667,1375,Lago Laje,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1775,GLOBAL,1,2593,286.33333,53.75000,306,La Grande IV,Canada,,
1788,GLOBAL,1,995,289.55000,-35.73333,1325,Lagun Invernada,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1789,GLOBAL,1,914,74.33333,31.55000,214,Lahore City,Pakistan,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1790,GLOBAL,1,474,266.78333,30.11667,4,Lake Charles,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1791,GLOBAL,1,475,278.05000,28.03333,82,Lakeland,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1792,GLOBAL,1,1051,299.00000,14.60000,3,Lamentin,Martinique,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1793,DIRECT,2,1051,299.00000,14.60000,3,Lamentin,Martinique,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1794,DIFFUS,3,1051,299.00000,14.60000,3,Lamentin,Martinique,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1795,GLOBAL,1,143,40.90000,-2.26667,30,Lamu,Kenya,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
1796,GLOBAL,1,476,251.26667,42.81667,1703,Lander / Hunt,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1801,GLOBAL,1,3870,283.61278,37.10389,3,Langley Research Center (BSRN),United States of America,,"Correction on 2021-APR-12, previous stxlon 76.38722 stlodir E stname with a instead of e at the end stcomm BSRN Data Archive"
1802,DIRECT,2,3870,283.61278,37.10389,3,Langley Research Center (BSRN),United States of America,,"Correction on 2021-APR-12, previous stxlon 76.38722 stlodir E stname with a instead of e at the end stcomm BSRN Data Archive"
1803,DIFFUS,3,3870,283.61278,37.10389,3,Langley Research Center (BSRN),United States of America,,"Correction on 2021-APR-12, previous stxlon 76.38722 stlodir E stname with a instead of e at the end stcomm BSRN Data Archive"
1805,GLOBAL,1,4544,5.33333,47.83333,467,Langres,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1806,GLOBAL,1,2043,103.88333,36.05000,1517,Lanzhou,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1807,DIRECT,2,2043,103.88333,36.05000,1517,Lanzhou,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1808,DIFFUS,3,2043,103.88333,36.05000,1517,Lanzhou,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1809,REFLEC,5,2043,103.88333,36.05000,1517,Lanzhou,China,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1776,GLOBAL,1,1025,293.81667,11.80000,3,La Orchila,Venezuela,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1777,GLOBAL,1,979,288.96667,-30.68333,342,La Paloma,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1778,GLOBAL,1,4543,5.83333,46.30000,1133,La Pesse,France,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1779,GLOBAL,1,4491,294.40000,-22.10000,3459,La Quiaca Obs.,Argentina,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1780,DIFFUS,3,4491,294.40000,-22.10000,3459,La Quiaca Obs.,Argentina,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
1812,GLOBAL,1,1628,254.43333,41.30000,2208,Laramie (University of Wyoming),United States of America,,"Weather Bureau United States (1951), Climatological Data, National Summary, Annual Reports, US Weather Bureau."
1781,GLOBAL,1,1256,358.85000,46.15000,4,La Rochelle,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1782,DIFFUS,3,1256,358.85000,46.15000,4,La Rochelle,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1766,GLOBAL,1,1254,358.61667,46.70000,91,La  Roche-Sur-Yon,France,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1783,GLOBAL,1,977,288.75000,-29.90000,32,La Serena,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1813,GLOBAL,1,989,289.80000,-33.90000,1527,Las Melozes,Chile,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
1814,GLOBAL,1,3805,344.80000,27.93333,24,Las Palmas Airport,Spain,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
1815,GLOBAL,1,477,244.83333,36.08333,662,Las Vegas / McCarran,United States of America,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg;  Kiene, M. (1989), Globale Sonnenstrahlung in Kanada und USA, Geographisches Institut ETH, Federal Institute of Technology ETH, Zurich."
1817,GLOBAL,1,4642,169.68401,-45.03800,370,Lauder,New Zealand,,"WMO OSCAR SURFACE, WRDC online archive accessed March 2021. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
